"","TIER_ID","ANNOTATION_ID","ANNOTATION_REF","VALUE","PREVIOUS_ANNOTATION","EXT_REF"
"1730","A_morph-txt-es","ann4498_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4497_flexid_b861f6fc-1cfc-4055-86fe-572e85680774","ba",NA,NA
"1731","A_morph-txt-es","ann4503_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4497_flexid_b861f6fc-1cfc-4055-86fe-572e85680774","-ta","ann4498_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1732","A_morph-txt-es","ann4514_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4513_flexid_e9bcb0dc-814e-409a-88c1-0142f7a78fb1","shipa",NA,NA
"1733","A_morph-txt-es","ann4519_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4518_flexid_e9bcb0dc-814e-409a-88c1-0142f7a78fb1","shipa",NA,NA
"1734","A_morph-txt-es","ann4529_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4528_flexid_56afbef6-eb02-4b66-8b88-6ecc4e3e9c9b","datsio",NA,NA
"1735","A_morph-txt-es","ann4534_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4533_flexid_86eca953-e6e1-4b92-9ee9-0f19f8c2068c","jasi",NA,NA
"1736","A_morph-txt-es","ann4539_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4538_flexid_a1b0e7f7-e614-4f5f-a6e3-ec1a1ba7c4e6","batawe",NA,NA
"1737","A_morph-txt-es","ann4544_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4543_flexid_55b9ab48-db1d-4184-897d-e15604145e4c","pó",NA,NA
"1738","A_morph-txt-es","ann4549_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4543_flexid_55b9ab48-db1d-4184-897d-e15604145e4c","-tsane","ann4544_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1739","A_morph-txt-es","ann4560_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4559_flexid_37807528-4bd4-43cc-963c-9f4ea9a2bcce","ja",NA,NA
"1740","A_morph-txt-es","ann4566_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4565_flexid_2cbe20e1-d5b5-4fb6-b968-750b4d6b2059","a",NA,NA
"1741","A_morph-txt-es","ann4572_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4571_flexid_37807528-4bd4-43cc-963c-9f4ea9a2bcce","ja",NA,NA
"1742","A_morph-txt-es","ann4578_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4577_flexid_2cbe20e1-d5b5-4fb6-b968-750b4d6b2059","a",NA,NA
"1743","A_morph-txt-es","ann4585_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","ann4584_flexid_9ab50809-7db7-4c29-9150-54d66ee861af","e-",NA,NA
"1744","A_morph-txt-es","ann4589_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4584_flexid_9ab50809-7db7-4c29-9150-54d66ee861af","po","ann4585_flexid_d7f713db-e8cf-11d3-9764-00c04f186933",NA
"1745","A_morph-txt-es","ann4626_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4625_flexid_357af436-dfef-4180-85cd-01af1c2a3ac3","kwei",NA,NA
"1746","A_morph-txt-es","ann4630_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4625_flexid_357af436-dfef-4180-85cd-01af1c2a3ac3","-shipo","ann4626_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1747","A_morph-txt-es","ann4634_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4625_flexid_357af436-dfef-4180-85cd-01af1c2a3ac3","-ti","ann4630_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1748","A_morph-txt-es","ann4639_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4625_flexid_357af436-dfef-4180-85cd-01af1c2a3ac3","-yoa","ann4634_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1749","A_morph-txt-es","ann4644_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4643_flexid_e9bcb0dc-814e-409a-88c1-0142f7a78fb1","shipa",NA,NA
"1750","A_morph-txt-es","ann4649_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4648_flexid_32dfbec8-2b1d-4624-8588-930792b0d35d","po",NA,NA
"1751","A_morph-txt-es","ann4654_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4648_flexid_32dfbec8-2b1d-4624-8588-930792b0d35d","-yoa","ann4649_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1752","A_morph-txt-es","ann4658","ann4648_flexid_32dfbec8-2b1d-4624-8588-930792b0d35d","`[?]","ann4654_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1753","A_morph-txt-es","ann4736_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4735_flexid_475fc89b-99cd-464e-b0a5-44059bc8ff61","kwabetsa",NA,NA
"1754","A_morph-txt-es","ann4740_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4735_flexid_475fc89b-99cd-464e-b0a5-44059bc8ff61","shawiya","ann4736_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1755","A_morph-txt-es","ann4744_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4735_flexid_475fc89b-99cd-464e-b0a5-44059bc8ff61","-ibo","ann4740_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1756","A_morph-txt-es","ann4748_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4735_flexid_475fc89b-99cd-464e-b0a5-44059bc8ff61","-ani","ann4744_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1757","A_morph-txt-es","ann4752_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4735_flexid_475fc89b-99cd-464e-b0a5-44059bc8ff61","-tsio","ann4748_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1758","A_morph-txt-es","ann4757_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4756_flexid_4a2cb79c-ad8d-4a47-a2b5-ccb4e227972d","wada",NA,NA
"1759","A_morph-txt-es","ann4762_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4761_flexid_ffc460c2-6089-4c95-bee9-73c1a5942161","kwiñao",NA,NA
"1760","A_morph-txt-es","ann4768_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","ann4767_flexid_0e271c67-0b82-4ca9-9362-8143aca4e1ef","ja-",NA,NA
"1761","A_morph-txt-es","ann4772_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4767_flexid_0e271c67-0b82-4ca9-9362-8143aca4e1ef","ba","ann4768_flexid_d7f713db-e8cf-11d3-9764-00c04f186933",NA
"1762","A_morph-txt-es","ann4777_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4767_flexid_0e271c67-0b82-4ca9-9362-8143aca4e1ef","-ti","ann4772_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1763","A_morph-txt-es","ann4782_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4767_flexid_0e271c67-0b82-4ca9-9362-8143aca4e1ef","-ibo","ann4777_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1764","A_morph-txt-es","ann4786_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4767_flexid_0e271c67-0b82-4ca9-9362-8143aca4e1ef","-ke","ann4782_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1765","A_morph-txt-es","ann4791_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann4767_flexid_0e271c67-0b82-4ca9-9362-8143aca4e1ef","-mae","ann4786_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1766","A_morph-txt-es","ann4797_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","ann4796_flexid_82a6c762-8b75-437b-90b3-5bdb0373f21a","e-",NA,NA
"1767","A_morph-txt-es","ann4801_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4796_flexid_82a6c762-8b75-437b-90b3-5bdb0373f21a","a","ann4797_flexid_d7f713db-e8cf-11d3-9764-00c04f186933",NA
"1768","A_morph-txt-es","ann4813_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4812_flexid_c4063cc7-3127-4bca-bb0d-7c01a17170b7","tso",NA,NA
"1769","A_morph-txt-es","ann4819_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann4818_flexid_63aca3fe-8571-4203-9610-cbefad47861f","poana",NA,NA
